Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Metric,indie (Origen: Rock),Canción,Black Sheep - Brie Larson Vocal Version,2010,60TThBDrPpek5k520l0W0L,3blvQlrV0IeDBOWqDz2yYd,Black Sheep (Brie Larson Vocal Version),2010,Metric,"Metric are an indie rock/New Wave band formed in 1998 in Toronto, Canada. The band members are Emily Haines (vocals, synths, guitar, tambourine), James Shaw (guitar, synths, theremin, backing vocals), Josh Winstead (bass, synths, backing vocals) and Joules Scott-Key (drums). The band name was inspired after a sound called ""Metric"" that was programmed by Shaw on his keyboard. They were based at various times at Toronto, Montreal, London, NYC and LA. <a href=""https://www.last.fm/music/Metric"">Read more on Last.fm</a>",108162339,2734365
Demi Lovato,indie (Origen: Rock),Canción,"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam""",2010,0Di5p4ItolIUZB8c2P0pvs,5iK842b9xnZblgZkRxWCFe,Camp Rock 2: The Final Jam,2010,Cast Of 'Camp Rock 2',"Demetria Devonne Lovato, professionally known as Demi Lovato, is an American singer, songwriter and actress. After appearing on the children's television series Barney & Friends (2002–2004), Lovato rose to prominence for playing Mitchie Torres in the musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010); the former film's soundtrack contained ""This Is Me"", Lovato's debut single and duet with Joe Jonas, which peaked at number nine on the Billboard Hot 100. <a href=""https://www.last.fm/music/Demi+Lovato"">Read more on Last.fm</a>",190523061,3233334
Zoé,indie (Origen: Rock),Canción,Nada,2010,1lpGX4TZPVgEKGGBDc3n9j,45DCXNwdmaIt0kwAnqrVnG,Colaboraciones España,2010,Zoé,"There are, at least, three artists known as Zoé: 1) A Mexican rock band. 2) An aka of Zoë Pollock (also, aka Zoë). 3) A French-speaking variétés françaises singer.

1) A Mexican rock band, that's not not afraid of experimenting, with a modern sound, an eclectic style, some British influences & overall, their music's sophisticated without loss of rock energy. Their lyrics cover many subjects / feelings, with the same level of sophistication that their music shows, plus honesty. <a href=""https://www.last.fm/music/+noredirect/Zo%C3%A9"">Read more on Last.fm</a>",26529317,457933
Nick Jonas,indie (Origen: Rock),Canción,"Introducing Me - From ""Camp Rock 2: The Final Jam""",2010,74tQaH4CxM5Rs9BzerEbHr,5iK842b9xnZblgZkRxWCFe,Camp Rock 2: The Final Jam,2010,Cast Of 'Camp Rock 2',"
Nicholas Jerry ""Nick"" Jonas (born September 16, 1992) is an American singer-songwriter and actor best known as one of the Jonas Brothers, a pop-rock band he formed with his brothers Joe and Kevin. After 2010, Nick has focused primarily on his own career, releasing solo material, appearing in musicals, and acting in film and television.

A performer since the age of seven (the age at which he joined the Broadway cast of Annie Get Your Gun), Nicholas made his songwriting debut in 2002 <a href=""https://www.last.fm/music/Nick+Jonas"">Read more on Last.fm</a>",20906366,1255592
Crystal Castles,indie (Origen: Rock),Canción,Suffocation,2010,12oxsGACfwMozi4nK9noGQ,5B2ipvFV27t5lUQYcNkTpg,Crystal Castles (II),2010,Crystal Castles,"Crystal Castles was an experimental /  electronic band which formed in 2003 in Toronto, Ontario, Canada and last consisted of Ethan Kath and vocalist Edith Frances. Alice Glass served as the lead vocalist for the group since its foundation until 2014.

They are named after the lyrics ""The fate of the world is safe in Crystal Castles"" and ""Crystal Castles, the source of all power"" both from the theme song for She-Ra's fortress. They are known for their melancholic lo-fi sound and their explosive live shows. <a href=""https://www.last.fm/music/Crystal+Castles"">Read more on Last.fm</a>",229794915,3063174
Wig Wam,indie (Origen: Rock),Canción,Do Ya Wanna Taste It,2010,5XW4BwCrfYpci5zMbJxs4N,4LC0EgGdIMtdpsssOLCJ1T,Non Stop Rock'n Roll,2010,Wig Wam,"Wig Wam is a Norwegian rock band, which is dedicated to the Glam rock, Glam metal and imitates the style of typical American rock bands from the 1980s.

Wig Wam come from Norway, more specifically the county of Østfold, and they were founded in 2001. Before their establishment the band members were already active in the music business, playing in bands like Dream Police, Artch, Sha-Boom, Ole Evenrud, Heads'N Tails and Alien, or as solo artists. Wig Wam worked hard to get to the top of the national charts <a href=""https://www.last.fm/music/Wig+Wam"">Read more on Last.fm</a>",2397666,147946
Rockwell,indie (Origen: Rock),Canción,Somebody's Watching Me,2010,2gGdO0zLa9W8ce1Ig0BzFK,77zu6NfDouq2TomJaVadKb,"12"" 80s Classics",2010,Various Artists,"There are, at least, six artists known as Rockwell.

1) A pseudonym of Kenneth Gordy, from Detroit, Michigan: The son of Motown Records' founder, Berry Gordy, he changed his name so as to avoid charges of nepotism, wanting to make it in the music business on just his talent. He signed to Motown as a solo artist without his father's knowledge, taking his name from his high school band. His first single, the Michael Jackson-esque ""Somebody's Watching Me"". <a href=""https://www.last.fm/music/Rockwell"">Read more on Last.fm</a>",6696554,1102318
Foxy Shazam,indie (Origen: Rock),Canción,Oh Lord,2010,5iJU96441eAZ2VdWgxdyJa,4dhCjrqhvcGuIAcP2JIVaR,Foxy Shazam,2010,Foxy Shazam,"Foxy Shazam is an American rock band from Cincinnati, Ohio, formed in 2004. The band consists of lead vocalist Eric Nally, guitarist Loren Turner, pianist Sky White, and bass player Daisy. After forming the band immediately recorded The Flamingo Trigger independently, then committed to an extensive national touring regimen. Shortly there after Foxy signed with Ferret Records and recorded their second album, Introducing Foxy Shazam, which was produced by Casey Bates (Chiodos, Portugal. <a href=""https://www.last.fm/music/Foxy+Shazam"">Read more on Last.fm</a>",6367354,228094
Tan Bionica,indie (Origen: Rock),Canción,Obsesionario en La Mayor,2010,2YNMRnIJMCxDQWYfXRxJmB,1vALPYnFhuoeFte9ZHIc7j,Obsesionario,2010,Tan Bionica,"Tan Biónica is a pop rock band from Argentina. The group was formed in 2002 in Buenos Aires by vocalist Santiago ""Chano"" Moreno Charpentier, his younger brother Gonzalo ""Bambi"" Moreno Charpentier, Sebastián Seoane (guitar), and Diego Lichtenstein (drums). Tan Biónica worked on the soundtracks for the telenovelas Graduados and Viudas e hijos del Rock and Roll.

Tan Biónica enjoyed significant radio airplay and fame after the release of their second studio album, Obsesionario, in 2010. <a href=""https://www.last.fm/music/Tan+Bionica"">Read more on Last.fm</a>",5729655,98144
Bunbury,indie (Origen: Rock),Canción,De todo el mundo,2010,3yYStumyNYWPHCPHLDxy99,2oOUx7YZnwBm4tshQbhdyO,Las Consecuencias,2010,Bunbury," <a href=""https://www.last.fm/music/+noredirect/Bunbury"">Read more on Last.fm</a>",5252082,147089
Caramelos De Cianuro,indie (Origen: Rock),Canción,Rubia Sol Morena Luna,2010,10BpvV0IRrd7D0gtHrBTN2,249zicrXA7A4UjOrJnxeb0,Caramelos de Cianuro,2010,Caramelos De Cianuro,"Caramelos de Cianuro is a Latin rock band from Venezuela. The band was formed in 1991, and recorded their first songs, ""Nadando a Traves De la Galaxia"" and ""Tu Mama Te Va a Pegar"", in 1992. A year later, the group signed up to CNR and released an EP called Las Paticas de la Abuela, followed by the band's first album, Cuentos Para Adultos, in 1994. Performing a mixture of Latin ska and pop rock, Caramelos de Cianuro returned in 1996 with Harakiri City, released by Polygram. <a href=""https://www.last.fm/music/Caramelos+de+Cianuro"">Read more on Last.fm</a>",2188439,60073
Kanye West,indie (Origen: Rock),Canción,Dark Fantasy,2010,7yNK27ZTpHew0c55VvIJgm,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,2010,Kanye West,"Ye, born Kanye Omari West on June 8, 1977, is an American rapper, singer, songwriter, record producer, and fashion designer. He is one of the most prominent figures in hip hop, known for his diverse musical style and polarizing cultural and political commentary. After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. <a href=""https://www.last.fm/music/Kanye+West"">Read more on Last.fm</a>",1443874962,7744984
Linkin Park,indie (Origen: Rock),Canción,The Catalyst,2010,5bvgRxco3jgSZ3SP8rueDA,5uvXx5ZQswNRFCdHR521YZ,A Thousand Suns,2010,Linkin Park,"Linkin Park is an American alternative rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",698502200,6731076
The Black Jets,indie (Origen: Rock),Canción,I Love Rock 'n' Roll,2010,06qEGQMavekDfu9fVsFAMz,7MlkH4VAR03h19qaTVMFjn,"ReCovered Hits, Vol. 2",2010,Various Artists," <a href=""https://www.last.fm/music/The+Black+Jets"">Read more on Last.fm</a>",292038,67949
Jamiroquai,indie (Origen: Rock),Canción,White Knuckle Ride,2010,7LWXh2JPLzKt1dla81mWWt,5mTP7Oivpq88d7ZQ9DBt4F,Rock Dust Light Star (Deluxe Version),2010,Jamiroquai,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes. <a href=""https://www.last.fm/music/Jamiroquai"">Read more on Last.fm</a>",98717648,2766437
Desakato,indie (Origen: Rock),Canción,Cada vez,2010,5rVcMAD2j9y4veNGUxljby,7xGnuyXs2tR5uzCwquBz9j,Miseria sangre y plomo,2010,Desakato,"Desakato is a band from Llanera (Asturias, Spain), formed in 2003 as an initiative from Pablo and Mario (singer/rythm guitar and bass respectively) who had been leaping from group to group not finding a sound they liked. They teamed up with guitarist Gabri and started playing covers and writing their own songs. Drumless, Pablo asked his brother Héctor to join up. Falu joined up as songwriter and helped with composition, as well as backup vocals and some solo songs. <a href=""https://www.last.fm/music/Desakato"">Read more on Last.fm</a>",688942,13153
Caramelos De Cianuro,indie (Origen: Rock),Canción,La Casa,2010,73jLhrKOby9QOBdAdpnsOl,249zicrXA7A4UjOrJnxeb0,Caramelos de Cianuro,2010,Caramelos De Cianuro,"Caramelos de Cianuro is a Latin rock band from Venezuela. The band was formed in 1991, and recorded their first songs, ""Nadando a Traves De la Galaxia"" and ""Tu Mama Te Va a Pegar"", in 1992. A year later, the group signed up to CNR and released an EP called Las Paticas de la Abuela, followed by the band's first album, Cuentos Para Adultos, in 1994. Performing a mixture of Latin ska and pop rock, Caramelos de Cianuro returned in 1996 with Harakiri City, released by Polygram. <a href=""https://www.last.fm/music/Caramelos+de+Cianuro"">Read more on Last.fm</a>",2188439,60073
Celtas Cortos,indie (Origen: Rock),Canción,Lucha de gigantes,2010,6NPKh0gE3SqkZ7t9lGv1wG,429B2xusrEYa2548pbnLMu,Introversiones,2010,Celtas Cortos,"Spanish music group of celtic rock.

It was formed in Valladolid (Castilla y León) in 1986. Eight friends, four of which played in the group Almenara decided to participate in a music contest under the name ""Colectivo Eurofolk"". They won the first prize and continued to play together changing their name to Celtas Cortos.

They won another contest in April 1987, the prize was the production of an album. They shared the prize with two other winners, so they contributed three songs to the album Así es como suena: Folk joven. <a href=""https://www.last.fm/music/Celtas+Cortos"">Read more on Last.fm</a>",1654553,106001
Kanye West,indie (Origen: Rock),Canción,Runaway,2010,3DK6m7It6Pw857FcQftMds,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,2010,Kanye West,"Ye, born Kanye Omari West on June 8, 1977, is an American rapper, singer, songwriter, record producer, and fashion designer. He is one of the most prominent figures in hip hop, known for his diverse musical style and polarizing cultural and political commentary. After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. <a href=""https://www.last.fm/music/Kanye+West"">Read more on Last.fm</a>",1443874962,7744984
Ken Zazpi,indie (Origen: Rock),Canción,Itsasoa gara,2010,6DzdQ1HhYMbsVKUHsIStIV,2DA8EK1eEmCbWPF3TfVceB,Ortzemugak begietan,2010,Ken Zazpi,"Commercially successful Basque Pop-Rock project created in 1996 by Mikel Arronategi, former bass player of Exkixu and Eñaut Elorrieta former singer of Lugarri. <a href=""https://www.last.fm/music/Ken+Zazpi"">Read more on Last.fm</a>",351673,14283
Kanye West,indie (Origen: Rock),Canción,Monster,2010,1ZHYJ2Wwgxes4m8Ba88PeK,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,2010,Kanye West,"Ye, born Kanye Omari West on June 8, 1977, is an American rapper, singer, songwriter, record producer, and fashion designer. He is one of the most prominent figures in hip hop, known for his diverse musical style and polarizing cultural and political commentary. After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. <a href=""https://www.last.fm/music/Kanye+West"">Read more on Last.fm</a>",1443874962,7744984
Arcade Fire,indie (Origen: Rock),Canción,The Suburbs,2010,5iItYl3Q6wCnKVfpK1uNVf,0gkUcpkyW2SXN49Yktkf6F,The Suburbs (Deluxe),2010,Arcade Fire,"Arcade Fire is a Canadian indie rock band formed in Montreal, Quebec, Canada in 2001. The band consists of Win Butler (vocals, guitar, piano), Régine Chassagne (vocals, accordion, keyboards, hurdy gurdy, drums), Richard Reed Parry (bass, guitar), Tim Kingsbury (bass), and Jeremy Gara (drums). Montreal percussionist Dane Mills performed on the EP and in early live shows.  Will Butler (keyboards, guitar) left the band in 2022 to focus on his solo career. The touring band includes horn players and violinists. <a href=""https://www.last.fm/music/Arcade+Fire"">Read more on Last.fm</a>",222504374,3062715
Brandon Flowers,indie (Origen: Rock),Canción,Crossfire,2010,6S8r0pRxRUy3OF3UUtNjdN,7zKxFkMyehmw9u3MhLpMPK,Flamingo,2010,Brandon Flowers,"Brandon Richard Flowers (born June 21, 1981 in Henderson, Nevada, United States) is the vocalist and keyboardist in the American indie rock band The Killers. His older brother Shane, got him into music like The Smiths and Morrissey, The Beatles, The Cure and Queen. Brandon has played with U2, New Order, Pet Shop Boys, Bruce Springsteen and other bands of which he is a fan. 

While listening to the radio in his car after his very first college class, Flowers heard the song ""Changes"" by David Bowie. <a href=""https://www.last.fm/music/Brandon+Flowers"">Read more on Last.fm</a>",16386163,617368
Rulo y la contrabanda,indie (Origen: Rock),Canción,Heridas del rock&roll,2010,5FazKQKTd45KmOAzhTN9Lv,4o1KACGnM1m7o3qoiM3hDx,Señales de humo,2010,Rulo y la contrabanda," <a href=""https://www.last.fm/music/Rulo+y+la+contrabanda"">Read more on Last.fm</a>",462264,18743
Deftones,indie (Origen: Rock),Canción,Sextape,2010,1EryAkZ0VHstC6haIxVBiE,1GjjBpY2iDwSQs5bykQI5e,Diamond Eyes,2010,Deftones,"Deftones is an American metal band from Sacramento, California, formed in 1988, consisting of Chino Moreno (lead vocals and guitar), Stephen Carpenter (guitar), Frank Delgado (keyboards and turntables), and Abe Cunningham (drums and percussion). Vega (formerly of Quicksand) took on bass duties from mid-2009 to ca. 2021 in substitution for Chi Cheng, who was seriously injured in an automobile accident in Santa Clara, California on November 4, 2008. <a href=""https://www.last.fm/music/Deftones"">Read more on Last.fm</a>",522310508,4046819
Celtas Cortos,indie (Origen: Rock),Canción,Blues del pescador,2010,4xX9iU4eZ2H5pyHva6Mssl,429B2xusrEYa2548pbnLMu,Introversiones,2010,Celtas Cortos,"Spanish music group of celtic rock.

It was formed in Valladolid (Castilla y León) in 1986. Eight friends, four of which played in the group Almenara decided to participate in a music contest under the name ""Colectivo Eurofolk"". They won the first prize and continued to play together changing their name to Celtas Cortos.

They won another contest in April 1987, the prize was the production of an album. They shared the prize with two other winners, so they contributed three songs to the album Así es como suena: Folk joven. <a href=""https://www.last.fm/music/Celtas+Cortos"">Read more on Last.fm</a>",1654553,106001
Black Eyed Peas,indie (Origen: Rock),Canción,Rock That Body,2010,74hXqhE6afQeZFPNcG0M6Q,0L0XGiaMNumFDbrKRlC6aS,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),2010,Black Eyed Peas,"Black Eyed Peas is an American hip hop/pop group formed in Los Angeles in 1995. The group's current line-up consists of will.i.am, Taboo and apl.de.ap. Black Eyed Peas have so-far sold an estimated 56 million albums and singles worldwide.

Black Eyed Peas went to centenary state high school and got their start in 1988 when will.i.am (born 1975 William James Adams Jr.) and apl.de.ap (born 1974 Allan Pineda) began rapping and performing together around Los Angeles. <a href=""https://www.last.fm/music/Black+Eyed+Peas"">Read more on Last.fm</a>",144003976,5534089
Bunbury,indie (Origen: Rock),Canción,Frente a frente (feat. Tulsa),2010,5kFkQoKmsuRZjjS4GEaxNj,2oOUx7YZnwBm4tshQbhdyO,Las Consecuencias,2010,Bunbury," <a href=""https://www.last.fm/music/+noredirect/Bunbury"">Read more on Last.fm</a>",5252082,147089
Billy Ocean,indie (Origen: Rock),Canción,Caribbean Queen (No More Love On the Run),2010,4JEylZNW8SbO4zUyfVrpb7,7n4OT3zEZaEiyKKd6mFAhi,The Very Best of Billy Ocean,2010,Billy Ocean,"Billy Ocean (born Leslie Sebastian Charles, 21 January 1950, Fyzabad, Trinidad) is a Grammy Award-winning British popular music performer who had a string of rhythm and blues-tinged international pop hits in the 1970s and 1980s. He was the main British R&B singer / songwriter of the 1980s. He waited seven years after scoring his first four UK top 20 successes, before accumulating a series of transatlantic successes, including three U.S. number ones. <a href=""https://www.last.fm/music/Billy+Ocean"">Read more on Last.fm</a>",8634944,950840
Melendi,indie (Origen: Rock),Canción,Barbie de extrarradio,2010,7bp62Lo0nOBcfB70iUoibE,1O2K1CtGy9oNUPkmOKLnAx,Volvamos a empezar (Deluxe edition),2010,Melendi,"His full name is Ramón Melendi Espina. Spanish pop singer with rock, flamenco, and rumba influences. Was born on January 21, 1979 in Oviedo, Asturias. 

He realized very quickly that he wasn't made for studying, but he was good at soccer. He played in the lower ranks of Astur CF, at the time a reserve team for Real Oviedo. Afterwards, he worked as a waiter in several bars and spent all night out, living experiences that would later go on to make up the lyrics of his songs. <a href=""https://www.last.fm/music/Melendi"">Read more on Last.fm</a>",7746795,306707
Two Door Cinema Club,indie (Origen: Rock),Canción,Undercover Martyn,2010,6GQLX6Z28fYwDNCrhaKzYF,6n8oS6u5qw6xWGT754V1M6,Tourist History,2010,Two Door Cinema Club,"Two Door Cinema Club is a Bangor and Donaghadee, Northern Ireland, UK, electropop / alternative band, formed 2007, consisting of Alex Trimble (vocals, guitar), Kevin Baird (bass, vocals), Sam Halliday (guitar, vocals) and, live only, Benjamin Thompson (drums) and Jacob Berry (keyboard, vocals).  The band has released four albums: ""Tourist History"" (2010), ""Beacon"" (2012), ""Gameshow"" (2016), and ""False Alarm"" (2019).

The band's name resulted from Halliday's mispronunciation of the local cinema's name, Tudor Cinema. <a href=""https://www.last.fm/music/Two+Door+Cinema+Club"">Read more on Last.fm</a>",125679398,3053850
Kings of Leon,indie (Origen: Rock),Canción,Pyro,2010,0umDVf77ygI5RiVp9OvNDj,5xFZ4iElFbUFtOGX4lvdTM,Come Around Sundown (Expanded Edition),2010,Kings of Leon,"Kings of Leon is an American rock band formed in Nashville, Tennessee, in 1999. The band is composed of brothers Caleb, Nathan and Jared Followill, and their cousin Matthew Followill. The band's early music was a blend of Southern rock and garage rock with blues influences, but it has evolved throughout the years to include a variety of genres and a more alternative, arena rock sound. Kings of Leon achieved initial success in the United Kingdom with nine Top 40 singles <a href=""https://www.last.fm/music/Kings+of+Leon"">Read more on Last.fm</a>",261590857,5025585
Sauver,indie (Origen: Rock Alternativo),Canción,Em Meio a Escuridão,2010,7KqPCnJ9qlkasL96pek8dg,2Obmn28Ct3df2oneMaHqjG,Compasso Rock Alternativo,2010,Sauver," <a href=""https://www.last.fm/music/sauver"">Read more on Last.fm</a>",49,7
Sancamaleon,indie (Origen: Rock Alternativo),Canción,La Ultima Cancion,2010,5DryHKAYG4F0QxklNpjifc,5iq3CD9M1vQcK5GAG7JrHi,Afuera,2010,Sancamaleon,"Sancamaleón nace a mediados del '99, como un sexteto que une ska, ritmos afro latinos, hardcore, samba y jazz. A mediados de 2000, su primer demo llega a manos del ex Soda Stereo Zeta Bossio, que los selecciona para integrar un compilado.

En 2001 editan su primer EP con cinco temas, de manera independiente, y filmaron el video de ""El Camino"", que consiguió mucha rotación canales de música.

A comienzos del 2002, luego de una gira por el interior del país <a href=""https://www.last.fm/music/sancamaleon"">Read more on Last.fm</a>",48454,2142
