Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Listeners_LastFM_x,Playcount_LastFM_x,Artistas_Similares,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Tennessee Ernie Ford,funk (Origen: boogie),Canción,The Ballad of Davy Crockett,2010,0kVHnRdNZqfE7lIyoL5dxd,7iAsGKHdsKBmM3GNDjJHuL,"Ernest Jennings Ford (February 13, 1919 – October 17, 1991) known professionally as Tennessee Ernie Ford, was an American country and gospel singer and radio and television host. Today, he is best remembered for his hit recording of ""Sixteen Tons"".

Born in Bristol, Tennessee, to Clarence Thomas Ford and Maud Long, Ford began his radio career as an announcer at station WOPI in Bristol, leaving in 1939 to study classical music and voice at the Cincinnati Conservatory of Music.",377348,3227354,"2nd South Carolina String Band, Johnny Horton, Tex Williams, Marty Robbins, Johnny Bond",,,
Professor Longhair,funk (Origen: boogie),Canción,Tipitina,2010,4vUDPTl9IfBi5PNX5PzCSE,43lKvg1tauGGhK0zZzvJYT,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,Walk Your Blues Away,2010,6yHhJMndSlat6XWGuyiqLX,0E7II6Q1mSvnmUslzlMJ9r,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,Walk Your Blues Away,2010,27BiIBIoApNTN2dw71txkh,6Sok0KZlP34aNDU7rgFT78,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
The Delmore Brothers,funk (Origen: boogie),Canción,See That Coon in a Hickory Tree,2010,4BtpgVVWYp1q03CsPTSOsg,2kLqjNJ16FMA73hFbHKCAu,"The Delmore Brothers were formed in the late 1920s by Alton and Rabon Delmore. 
The duo had a successful musical career throughout the '30s and '40s and into the '50s. The Delmore Brothers toured and recorded until Rabon's death in 1952. After his brother's death Alton recorded some solo material, but achieved little commercial success. Alton died in 1964.",42125,223552,"Roy Acuff, Jimmie Rodgers, The Carter Family, Ernest Tubb, Lefty Frizzell",,,
Tennessee Ernie Ford,funk (Origen: boogie),Canción,Give Me Your Word,2010,0j23PO9VdcSgxrtiGn9vrn,5ihYg62taeusxbNBfsvrll,"Ernest Jennings Ford (February 13, 1919 – October 17, 1991) known professionally as Tennessee Ernie Ford, was an American country and gospel singer and radio and television host. Today, he is best remembered for his hit recording of ""Sixteen Tons"".

Born in Bristol, Tennessee, to Clarence Thomas Ford and Maud Long, Ford began his radio career as an announcer at station WOPI in Bristol, leaving in 1939 to study classical music and voice at the Cincinnati Conservatory of Music.",377348,3227354,"2nd South Carolina String Band, Johnny Horton, Tex Williams, Marty Robbins, Johnny Bond",,,
Terry Noland,funk (Origen: boogie),Canción,Silver Water,2010,3NRZALLceLxh6FTTflgNTG,4d9GXnZxxDjflvhRehL480,"Of the assorted Texas rockabillies who plied their wares in Norman Petty's Clovis, NM, studio, the least heralded is Terry Noland. Much of this has to do with Noland jumping ship early in the ball game from Petty's direction to head to New York City with teen stardom waiting in the wings. He cut sides there with Tonight Show musical director Milton DeLugg swinging the baton and little else, jumping from the back-to-back West Texas rockabilly sound of ""Ten Little Women"" and the title cut to lightweight pop fluff like ""Puppy Love",3247,12986,"Billy Harlan, Buddy Covelle, Roy Hall, Lafayette Yarborough, Tommy Spurlin",,,
Tennessee Ernie Ford,funk (Origen: boogie),Canción,Cry of the Wild Goose,2010,70LvNZpVtQDvCcZ6p8aD8J,7eW0rhtkxFYWBw1N7bvm8H,"Ernest Jennings Ford (February 13, 1919 – October 17, 1991) known professionally as Tennessee Ernie Ford, was an American country and gospel singer and radio and television host. Today, he is best remembered for his hit recording of ""Sixteen Tons"".

Born in Bristol, Tennessee, to Clarence Thomas Ford and Maud Long, Ford began his radio career as an announcer at station WOPI in Bristol, leaving in 1939 to study classical music and voice at the Cincinnati Conservatory of Music.",377348,3227354,"2nd South Carolina String Band, Johnny Horton, Tex Williams, Marty Robbins, Johnny Bond",,,
Professor Longhair,funk (Origen: boogie),Canción,Junko Partner (Live),2010,4hTbkWtIkIpxOAFLVWsUmx,66OGSssNXg4nHeEpAMZEhq,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
The Delmore Brothers,funk (Origen: boogie),Canción,See That Coon in a Hickory Tree,2010,23hOBqY7JBT7WteYntBYDt,2dfmUaxPxLyFhNyUOwjSUq,"The Delmore Brothers were formed in the late 1920s by Alton and Rabon Delmore. 
The duo had a successful musical career throughout the '30s and '40s and into the '50s. The Delmore Brothers toured and recorded until Rabon's death in 1952. After his brother's death Alton recorded some solo material, but achieved little commercial success. Alton died in 1964.",42125,223552,"Roy Acuff, Jimmie Rodgers, The Carter Family, Ernest Tubb, Lefty Frizzell",,,
Friends from Rio,funk (Origen: boogie),Canción,Batucada Com Mingo,2010,2FTQ3h3kTMfDXQAm5cabzv,3tfmYJFGOrdg96r5ogKupT,The line-up is a credit to both the old and the new with a mix of established artists such as Dom Um Romao and Celia Vaz alongside the exciting new talent of Aricia Mess and Nair.,15088,57689,"Joyce & Tutty Moreno, Os Tres Morais, Mayumi Kaneyuki, Silvana Malta, Luiz Claudio",,,
Professor Longhair,funk (Origen: boogie),Canción,Hey Little Girl,2010,2IzmHnBCR3QdmQfv0NFnBI,6Sok0KZlP34aNDU7rgFT78,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,Every Day I Have the Blues (Live),2010,6pzsUez5Zg6oytjoomxjXy,3bWZIoDk6LUpMVy5LV9Qn6,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,Curly Haired Baby,2010,17OV6NhqwZEZXeMhRj649q,6Sok0KZlP34aNDU7rgFT78,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,Mess Around (Live),2010,5ct3cnMqEBuKA80MLBgg32,66OGSssNXg4nHeEpAMZEhq,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Tennessee Ernie Ford,funk (Origen: boogie),Canción,Davy Crockett,2010,6TlFzUfdaqz4TIL9fsjqGx,7eW0rhtkxFYWBw1N7bvm8H,"Ernest Jennings Ford (February 13, 1919 – October 17, 1991) known professionally as Tennessee Ernie Ford, was an American country and gospel singer and radio and television host. Today, he is best remembered for his hit recording of ""Sixteen Tons"".

Born in Bristol, Tennessee, to Clarence Thomas Ford and Maud Long, Ford began his radio career as an announcer at station WOPI in Bristol, leaving in 1939 to study classical music and voice at the Cincinnati Conservatory of Music.",377348,3227354,"2nd South Carolina String Band, Johnny Horton, Tex Williams, Marty Robbins, Johnny Bond",,,
Tennessee Ernie Ford,funk (Origen: boogie),Canción,Bright Lights And Blonde Haired Women,2010,1YZv8IsZrjkxuOgwsP8iX4,5q4PaaXBsnrY3Q2epN59Nw,"Ernest Jennings Ford (February 13, 1919 – October 17, 1991) known professionally as Tennessee Ernie Ford, was an American country and gospel singer and radio and television host. Today, he is best remembered for his hit recording of ""Sixteen Tons"".

Born in Bristol, Tennessee, to Clarence Thomas Ford and Maud Long, Ford began his radio career as an announcer at station WOPI in Bristol, leaving in 1939 to study classical music and voice at the Cincinnati Conservatory of Music.",377348,3227354,"2nd South Carolina String Band, Johnny Horton, Tex Williams, Marty Robbins, Johnny Bond",,,
Professor Longhair,funk (Origen: boogie),Canción,Tell Me Pretty Baby (Live),2010,3Kl7TUNCSU5wqWqkYJGzMO,66OGSssNXg4nHeEpAMZEhq,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,Mardi Gras in New Orleans,2010,1xYpbk5bOnmjSTOPCirSsb,6Sok0KZlP34aNDU7rgFT78,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,"Looka, No Hair",2010,5JLKmAdUoSsdrr5UynPTjd,0E7II6Q1mSvnmUslzlMJ9r,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Terry Noland,funk (Origen: boogie),Canción,"My Get Up and Go, Got Up & Went",2010,0yzDGRx9nU3s3hluGMz4b7,6gtDrcfGr3dcSmpLcKaqVa,"Of the assorted Texas rockabillies who plied their wares in Norman Petty's Clovis, NM, studio, the least heralded is Terry Noland. Much of this has to do with Noland jumping ship early in the ball game from Petty's direction to head to New York City with teen stardom waiting in the wings. He cut sides there with Tonight Show musical director Milton DeLugg swinging the baton and little else, jumping from the back-to-back West Texas rockabilly sound of ""Ten Little Women"" and the title cut to lightweight pop fluff like ""Puppy Love",3247,12986,"Billy Harlan, Buddy Covelle, Roy Hall, Lafayette Yarborough, Tommy Spurlin",,,
Professor Longhair,funk (Origen: boogie),Canción,How Long Has That Train Been Gone,2010,26BBuNen6SPYyLtWlEgBgA,3bWZIoDk6LUpMVy5LV9Qn6,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Professor Longhair,funk (Origen: boogie),Canción,"Medley: She Walked Right In/Shake, Rattle & Roll (Live)",2010,3MXsZWWCjc9XovvGZeljSn,66OGSssNXg4nHeEpAMZEhq,"Henry Roeland ""Roy"" Byrd (December 19, 1918 – January 30, 1980), better known as Professor Longhair also known as ""Fess"", was a New Orleans rhythm & blues singer and pianist. Professor Longhair is noteworthy for having been active in two distinct periods, both in the heyday of early rhythm and blues, and in the resurgence of interest in traditional jazz after the founding of the New Orleans Jazz and Heritage Festival.

Professor Longhair was born on December 19, 1918 in Bogalusa, Louisiana.",164798,1306609,"Dr. John, James Booker, Kermit Ruffins, Preservation Hall Jazz Band, Allen Toussaint",,,
Gene Dunlap,funk (Origen: soul),Canción,There's Talk - Remastered,2010,5BB02hZy9iwG8XEgit7IKy,7eZjuNZT0uSkbS1bR2Nm8q,"born in Detroit, Michigan, U.S.A.

Gene began to play the drums from the age of four although his first job was in a music store.

While still at school he met Earl Klugh with whom he formed a group.

By the mid-70's Gene was playing drums for Earl professionally, Earl also helping to secure Gene a solo recording deal with Capitol in the early 80's.

His three albums were 'It's Just The Way I Feel' (1981), including 'Before You Break My Heart' (ably assisted vocally by the Ridgeway Sisters)",42694,173926,"George Duke, The Jones Girls, Fat Larry's Band, Heatwave, Donald Byrd",,,
Dr Rubberfunk,funk (Origen: soul),Canción,Trouble Woman,2010,2AaK69jzFnoC3tlPogdYsW,1SWqQVknpugMUrzMGzaWJr,"Simon Ward began DJing under the Dr Rubberfunk moniker in 1992, releasing his debut 12” single 'Harry the Guitar' in 2001. He has since produced 4 artist albums; The First Cut, My Life At 33, Hot Stone and in 2020 released the long awaited  My Life At 45. His production and remix work continues for numerous artists, including producing Izo FitzRoy's debut LP Skyline and co-writing / co-producing the  project alongside fellow DJ and producer .
Simon has DJed around the world from New York to Paris",62543,359859,"Soopasoul, Smoove & Turrell, Basement Freaks, Flevans, Gizelle Smith",,,
Dr Rubberfunk,funk (Origen: soul),Canción,Sunset Breakup,2010,6hHDHY4AOOcKR4tW93QmxL,1SWqQVknpugMUrzMGzaWJr,"Simon Ward began DJing under the Dr Rubberfunk moniker in 1992, releasing his debut 12” single 'Harry the Guitar' in 2001. He has since produced 4 artist albums; The First Cut, My Life At 33, Hot Stone and in 2020 released the long awaited  My Life At 45. His production and remix work continues for numerous artists, including producing Izo FitzRoy's debut LP Skyline and co-writing / co-producing the  project alongside fellow DJ and producer .
Simon has DJed around the world from New York to Paris",62543,359859,"Soopasoul, Smoove & Turrell, Basement Freaks, Flevans, Gizelle Smith",,,
"Earth, Wind & Fire",funk (Origen: soul),Canción,September,2010,3mL0pzaHLsjJoaGfvQWyD5,1k7WkNHGPNPnri2tsowvtg,"Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk.",2839946,46411748,"Kool & the Gang, Brothers Johnson, Commodores, Stevie Wonder, Chic","Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk. <a href=""https://www.last.fm/music/Earth,+Wind+&+Fire"">Read more on Last.fm</a>",46411748,2839946
Soopasoul,funk (Origen: soul),Canción,Summer Sun,2010,4Iqgo3AwdpGe5oDtB3vOHe,2PRjCxqGZgF6huq9ZrV0rZ,"The funk phoenix rises from the flames of rave. 

Soopasoul is that rarest of things in this electronic age of dance music. A band where everything is played in live, where loops and plug-ins are passed over in favour of a drum kit in the living room, guitars and bass that are lying around and a funky horn section so steeped in tradition that you can feel the real deal being played out in front of your ears. 

Danny Hybrid the man behind Soopasoul grew up in Manchester and has been a music pioneer since the age of 14.",36253,226312,"Basement Freaks, Smoove & Turrell, The Allergies, Gizelle Smith, Timewarp inc.","The funk phoenix rises from the flames of rave. 

Soopasoul is that rarest of things in this electronic age of dance music. A band where everything is played in live, where loops and plug-ins are passed over in favour of a drum kit in the living room, guitars and bass that are lying around and a funky horn section so steeped in tradition that you can feel the real deal being played out in front of your ears. 

Danny Hybrid the man behind Soopasoul grew up in Manchester and has been a music pioneer since the age of 14. <a href=""https://www.last.fm/music/Soopasoul"">Read more on Last.fm</a>",226312,36253
Speedometer,funk (Origen: soul),Canción,Rubberneck,2010,4LplKZlHqBnibK932aTxKc,6wKstFXknq7quU5pgIwZOr,"There are at least 2 artists named Speedometer:

1. Speedometer (band): Since forming as a quartet in 1998, Speedometer has been at the forefront of the funk and soul scene. While on the playlists of every funk and soul DJ dropping heavy funk, latin or soulful beats on dancefloors around the world, their music has also been the backdrop for countless TV shows and Hollywood film trailers.  They have toured all over Europe and Japan releasing 8 studio albums, including collaborations with some of legendary names in soul and funk.",99477,925103,"Lefties Soul Connection, The Sound Stylistics, Soopasoul, The Bamboos, Cookin' On 3 Burners",,,
Electro Deluxe,funk (Origen: soul),Canción,Where is the love ?,2010,1JPOZzPzvTzVoHixqI8pWs,1qn0kla1XZSbLSb1u81kSc,"Créé fin 2001, Electro Deluxe est un groupe qui mélange jazz, funk, hip-hop avec des influences allant de Herbie Hancock à Buckshot LeFonque en passant par Meshell Ndegeocello. À la différence de nombreuses formations classées ""électro"" dont la musique est essentiellement faite par des machines sur lesquelles improvisent des solistes, Electro Deluxe compose à la croisée entre héritage et modernité choisissant la démarche inverse. Il se",67884,699743,"Nils Landgren Funk Unit, Brooklyn Funk Essentials, Beat Assailant, The Haggis Horns, Erik Truffaz",,,
Sharon Jones & The Dap-Kings,funk (Origen: soul),Canción,If You Call,2010,1FtkEVtDdVDyduNJbx8b5h,7tsqjPwOhgPOWHgp9RHYi6,"Sharon Jones and the Dap-Kings was a funk/soul band, founded in Brooklyn, NY, USA (1996). They were signed to Daptone Records, where the Dap-Kings are the house band. They are widely thought to be spearheads of a revivalist movement that aims to capture the essence of funk/soul music as it was at its height in the mid-1960s to mid-1970s. Part of the way this is achieved is to shun modern digital recording methods in favour of using traditional analogue recording equipment.",189549,1927993,"The James Hunter Six, Dojo Cuts, Charles Bradley, Saun & Starr, The Poets of Rhythm","Sharon Jones & the Dap-Kings, aka Sharon Jones and the Dap-Kings, are a funk/soul band, founded in Brooklyn, NY, USA (1996). They are signed to Daptone Records, where the Dap-Kings are the house band. They are widely thought to be spearheads of a revivalist movement that aims to capture the essence of funk/soul music as it was at its height in the mid-1960s to mid-1970s. Part of the way this is achieved is to shun modern digital recording methods in favour of using traditional analogue recording equipment. <a href=""https://www.last.fm/music/+noredirect/Sharon+Jones+&+The+Dap-Kings"">Read more on Last.fm</a>",8756383,719002
Cool Million,funk (Origen: soul),Canción,Back for More,2010,0EprAWzfoghfCyzkbcCw4Y,3QrSJUpIlHfhUiLnvKBkeL,"Cool Million is an upfront production team and collective of soulful friends taking soul back to the future. We respect and love the past, but we also believe in progress.

Cool Million was founded by Frank Ryle, a well known soul music personality in his home country Denmark. As the founder of Denmark leading soul music page, Soulportal.dk, Frank has built up a huge network worldwide of artists, radio- and club DJ’s and record companies over the years.",15833,121247,"Victor Haynes, Soul Talk, Full Flava, James Day, Kloud 9",,,
Corinne Bailey Rae,funk (Origen: soul),Canción,Closer,2010,6XaV2S7rtFLMw2YBXcIhvv,0kZaBpZZZINkqWpH5VvrXG,"Corinne Bailey Rae (born Corinne Bailey on 26 February 1979) is a Grammy-winning English singer and songwriter who released her eponymous debut album ""Corinne Bailey Rae"" in February 2006. Rae was named the number-one predicted breakthrough act of 2006 in an annual BBC poll of music critics.

Rae was born in Leeds, West Yorkshire to a Kittitian father and an English mother, and she was the eldest of three daughters. She began her musical career at",2077455,28850304,"Joss Stone, Duffy, Lianne La Havas, Amy Winehouse, India.Arie",,,
"Earth, Wind & Fire",funk (Origen: soul),Canción,Let's Groove,2010,3ruGo4hW60XednQQOzQwPN,0pvhletDH7CphbKErUtPCF,"Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk.",2839946,46411748,"Kool & the Gang, Brothers Johnson, Commodores, Stevie Wonder, Chic","Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk. <a href=""https://www.last.fm/music/Earth,+Wind+&+Fire"">Read more on Last.fm</a>",46411748,2839946
Plan B,funk (Origen: soul),Canción,Hard Times,2010,6gkTTRcDPjs267TiwF0juC,0ZBFOinHZhiH56Z8YS8AzW,"There are several artists and bands with this name:

1) Plan B (real name Ben Drew, b. 1983) is a rapper from Forest Gate, London. From the age of 11 he attended Anglo European School in Ingatestone Essex, before transfering to Tom Hood, an inner-city comprehensive. He has described his character, in these school days, as ""a bit of a cunt"". He is signed to 679 Recordings, home to UK rap act The Streets. His unique sound is characterised by his use of acoustic beats and lyrics involving drugs, rape, murder and underage sex.",1241301,28653959,"Don Omar, Daddy Yankee, J Alvarez, Baby Rasta y Gringo, Tego Calderón",,,
Erykah Badu,funk (Origen: soul),Canción,Get MuNNY,2010,0ZKCq8E5QS4lRjEtFvZqZX,1MOub955Uer957RVqqkF2a,"Erykah Badu (born Erica Abi Wright on February 26, 1971 in Dallas, Texas) is an American R'n'B/neo-soul artist whose work crosses over into jazz. 

She is best known for her singles You Got Me her collaboration with The Roots, as well as her own songs Tyrone, Love of My Life, On & On, Bag Lady, The Healer,  Honey and Soldier. Her lyrics are highly personal urban philosophy which throw emotional challenges in the face of the listener. She weaves unusual musical influences together creating a rich texture of sound.",2000576,64127670,"Jill Scott, Solange, Floetry, D'Angelo, Lauryn Hill",,,
Jeff Hendrick,funk (Origen: soul),Canción,Saturday,2010,5asiRg6ceQC6N16fjlL5Py,1dRmOYw2QSeMkMWEbluLJe,"Canadian born R&B and Soul artist Jeff Hendrick is no stranger to success. Since first hitting the stage at the age of seven, the accomplished singer/songwriter has emerged as one of his homelands brightest young music prospects. Deeply rooted in the R&B and Soul influences of artists like Stevie Wonder, Marvin Gaye, Prince, and Michael Jackson, Hendricks smooth vocal offerings often conjure up images of Philly soul rather than the Canadian prairies.",10667,68210,"Ahmir, J Rice, Soul Talk, Tony Momrelle, Javier Colon",,,
Delegation,funk (Origen: soul),Canción,One More Step to Take,2010,6Mh7XmwrhD4XhtGx0b9wkh,1um0JgV0FOnEg3UA0IF2hc,"1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's",471965,3340878,"William Devaughn, Shalamar, Patrice Rushen, Evelyn ""Champagne"" King, Change","1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's <a href=""https://www.last.fm/music/Delegation"">Read more on Last.fm</a>",3340878,471965
Drizabone Soul Family,funk (Origen: soul),Canción,Lovin' U,2010,2yRtg3keL2lmf4n3zcTCzw,5mMpoSvjJe0EXvVOreU2ey,"Driza Bone's most popular track, as an artist, was the song ""Real Love"", which reached #16 on the UK Singles Chart in June 1991[2] At the time of the single, Drizabone were mainstays April and Garcia, plus vocalist Sophie Jones.[1] Jones had performed the original demo versions of the song, but was not really interested in a musical career, and Dee Heron (b. Jamaica, West Indies) gave up her secretary's job to take over her role.[1] The follow-up hit was ""Catch the Fire"" (UK #54).",1238,11029,"Heston, Victor Haynes, Angela Johnson, Shaila Prospere, Natasha Watts",,,
