Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
South Park Mexican,"Reggaeton (Origen: ""hip hop latino"")",Canción,Time Is Money,2000,3apBIw6lP1VoekucpGnLOE,5SUwFymz49jJ8uyFwUrt2K,Time is Money,2000,South Park Mexican,"Carlos Coy, also known by his stage name South Park Mexican or SPM (born October 5, 1970 in Houston, Texas) is an American rapper and convicted sex offender.

In 1994, On his own label, Dope House Records, SPM released Hustle Town and Power Moves to local fame. Touring throughout Texas, SPM released The 3rd Wish and The Purity Album before moving to Universal Records for Time Is Money and Never Change. Some of South Park Mexican's most popular hits to date are ""Mary-go-round,"" ""Mexican Radio,"" ""High So High,"" and ""Peace Pipe"". <a href=""https://www.last.fm/music/South+Park+Mexican"">Read more on Last.fm</a>",3472268,203037
Tzantza Matantza,"Reggaeton (Origen: ""hip hop latino"")",Canción,Más Preguntas Que Respuestas,2000,5hoqGtjJPqrq9USv2yX76I,3T6TCM2rq24XpAWEY6Bt3u,Saca la Cara,2000,Tzantza Matantza," <a href=""https://www.last.fm/music/Tzantza+Matantza"">Read more on Last.fm</a>",3818,275
South Park Mexican,"Reggaeton (Origen: ""hip hop latino"")",Canción,Country Life,2000,3PqEDiCTxcmZxFTWfBSD9P,5SUwFymz49jJ8uyFwUrt2K,Time is Money,2000,South Park Mexican,"Carlos Coy, also known by his stage name South Park Mexican or SPM (born October 5, 1970 in Houston, Texas) is an American rapper and convicted sex offender.

In 1994, On his own label, Dope House Records, SPM released Hustle Town and Power Moves to local fame. Touring throughout Texas, SPM released The 3rd Wish and The Purity Album before moving to Universal Records for Time Is Money and Never Change. Some of South Park Mexican's most popular hits to date are ""Mary-go-round,"" ""Mexican Radio,"" ""High So High,"" and ""Peace Pipe"". <a href=""https://www.last.fm/music/South+Park+Mexican"">Read more on Last.fm</a>",3472268,203037
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Justicia,2000,74RIjIunhMCIYHKA28wlVU,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Sangre,2000,1DgzGpTzwHp49kHBugeKVA,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Alma,2000,4G8StUZ5qyDCw8GN2EQGJ9,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Agua,2000,1TImxMkffu4CZ6lOHQ9s2J,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Queso,2000,4sM1hOrK2oSTY5ncGitzp8,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Fuego,2000,3tcOMrQ78gtQpG7J2Tqu5F,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
La Corte,"Reggaeton (Origen: ""hip hop latino"")",Canción,Jugo,2000,564hvzfKWKBNnG257QMugl,0MSA9cPAIqATIepzbb8ut5,Imperia,2000,La Corte," <a href=""https://www.last.fm/music/La+Corte"">Read more on Last.fm</a>",46545,2657
Omar Courtz,Reggaeton (Origen: reggaeton),Canción,A L O C A - T,2024,4SehMwGDegMobZHK0ODaLw,3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA,2024,Omar Courtz,"Joshua Omar Medina Cortés (Carolina, Puerto Rico, 11 de octubre de 1997), conocido artísticamente como Omar Courtz, es un cantante y compositor puertorriqueño de los géneros reguetón, trap y Rhythm and blues latino. <a href=""https://www.last.fm/music/Omar+Courtz"">Read more on Last.fm</a>",8800894,190325
Yailin la Mas Viral,Reggaeton (Origen: reggaeton),Canción,Bing Bong,2024,6s9PpYbExKlHuJ8JMyep21,7m6elVzm04Fd2FdKTVAolu,Bing Bong,2024,Yailin la Mas Viral,"Georgina Lulú Guillermo Díaz (Santo Domingo Este, Provincia de Santo Domingo; 4 de julio de 2002) conocida por su nombre artístico, Yailín la Más Viral, es una rapera, bailarina, vedette, empresaria y modelo dominicana.[1]​Es la creadora de Cattaleya Babies, una línea especial para bebes inspirada en su hija, e Intivita La Flor, línea de cuidado íntimo para la mujer <a href=""https://www.last.fm/music/Yailin+la+Mas+Viral"">Read more on Last.fm</a>",6889040,112633
Farruko,Reggaeton (Origen: reggaeton),Canción,SAN MIGUEL,2024,2fKvuayw0yxS26ygJ5W71I,2AiMNlcCgtmsCcMCf1PPyw,SAN MIGUEL,2024,Farruko,"Farruko is a reggaeton and Latin pop singer from Puerto Rico. His given name is Carlos Efren Reyes, and he was born in Bayamon, Puerto Rico in 1991. At the age of 16, he began to post his songs under his stage name to MySpace. His first single, ""Sexo Fuera del Planeta,"" gained thousands of followers, and from there he explored the potential of other social media networks. Due to his massive success on the Internet, he came to the attention of Puerto Rican radio and music industry executives, who enlisted his vocal talents for other artists. <a href=""https://www.last.fm/music/Farruko"">Read more on Last.fm</a>",10376919,771829
FloyyMenor,Reggaeton (Origen: reggaeton),Canción,Gata Only (Remix),2024,0JGTfiC4Z41GEEpMYLbWwO,3j6Hr2FWIsjgTKWbfRx0tu,Gata Only (Remix),2024,FloyyMenor,"Alan Felipe Galleguillos, known professionally as FloyyMenor, is a Chilean singer and songwriter. After self-releasing singles since 2022, he eventually gained international prominence with his hit single ""Gata Only"" with Cris MJ, where he released it through UnitedMasters. <a href=""https://www.last.fm/music/FloyyMenor"">Read more on Last.fm</a>",15474215,644882
Bryant Myers,Reggaeton (Origen: reggaeton),Canción,Chi-Partner,2024,6zDNe5siIEoMYOx5m8nYfv,0kh4C95vVyBP8kP5PEK1rv,Chi-Partner,2024,Bryant Myers,"Bryan Robert Rohena Pérez, known professionally as Bryant Myers, is a Puerto Rican Latin trap and reggaeton singer and songwriter. Rohena was born in Loma Alta, Puerto Rico. He began sampling and making his own songs in 2013 and launched them on social media via his SoundCloud, Instagram and YouTube accounts. <a href=""https://www.last.fm/music/Bryant+Myers"">Read more on Last.fm</a>",6292021,184456
Omar Courtz,Reggaeton (Origen: reggaeton),Canción,P I E N S A S E N M I,2024,5dGVfomXd5Ncq05wQhHI47,3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA,2024,Omar Courtz,"Joshua Omar Medina Cortés (Carolina, Puerto Rico, 11 de octubre de 1997), conocido artísticamente como Omar Courtz, es un cantante y compositor puertorriqueño de los géneros reguetón, trap y Rhythm and blues latino. <a href=""https://www.last.fm/music/Omar+Courtz"">Read more on Last.fm</a>",8800894,190325
Mesita,Reggaeton (Origen: reggaeton),Canción,Una Foto Remix (feat. Emilia),2024,1kqH58eGh2ZTOHwqBIB2tM,4f47mbk3DOWJ16DXLnviMw,Una Foto Remix (feat. Emilia),2024,Mesita,"Mesita is the name of more than one artist:
1) US indie pop 
2) Uruguay rap/trap 

1) James Cooley AKA Mesita is an American multi-instrumentalist from Colorado. He started releasing music under The Frustration Corporation, a plunderphonics project. He released his debut album under Mesita, Cherry Blossoms, in June 2008, with his debut EP No Worries coming out around a year later. In 2010, he released his second EP Living/Breathing. The EP changed his sound from indie rock to a more polished indietronica/pop sound. <a href=""https://www.last.fm/music/Mesita"">Read more on Last.fm</a>",4205098,223839
Blessd,Reggaeton (Origen: reggaeton),Canción,POLOS OPUESTOS REMIX - BLESSD VERSION,2024,2ALQyXMC26Vew7JX7ert9M,2o89OBJVbw4BdBeyVOGanN,POLOS OPUESTOS REMIX (BLESSD VERSION),2024,Blessd,"Stiven Mesa Londoño (Itagüí, January 27, 2000), known by his stage name Blessd, is a Colombian singer, songwriter and sports manager.

In October 2021, he signed with Warner Music Latina and released his first studio album called ""Hecho en Medellín"". One of his songs was inspired by Octavio Mesa. His most popular song from the album, titled ""MEDALLO"", reached number 1 in Colombia and has more than 431 million views on YouTube. In March 2022, he was nominated for three Heat Latin Music Awards <a href=""https://www.last.fm/music/Blessd"">Read more on Last.fm</a>",9231696,241945
Cris MJ,Reggaeton (Origen: reggaeton),Canción,SI NO ES CONTIGO,2024,5Uptvz6j1sjDKxidAcnH2L,4ecjQGViGCD4snnZ3QJOEL,SI NO ES CONTIGO,2024,Cris MJ,"Christopher Andrés Álvarez García , better known as Cris MJ, is a Chilean singer and songwriter, born on 16 September 2001; who achieved great international popularity in 2022 for the success of his song ""Una noche en Medellín"". He has managed to make collaborations and participations with other Chilean rappers and singers such as Pablo Chill-E, Pailita, among others.

His start in music began in 2019 and has been becoming popular in music since then, because he already had several highly successful songs. <a href=""https://www.last.fm/music/Cris+Mj"">Read more on Last.fm</a>",26853652,507016
Cris MJ,Reggaeton (Origen: reggaeton),Canción,QUICKIE,2024,2chjKRTw1KKrIRHGf6K52T,19xHT83DlUuEB4QwJfQJig,QUICKIE,2024,Cris MJ,"Christopher Andrés Álvarez García , better known as Cris MJ, is a Chilean singer and songwriter, born on 16 September 2001; who achieved great international popularity in 2022 for the success of his song ""Una noche en Medellín"". He has managed to make collaborations and participations with other Chilean rappers and singers such as Pablo Chill-E, Pailita, among others.

His start in music began in 2019 and has been becoming popular in music since then, because he already had several highly successful songs. <a href=""https://www.last.fm/music/Cris+Mj"">Read more on Last.fm</a>",26853652,507016
Bryant Myers,Reggaeton (Origen: reggaeton),Canción,Garchin,2024,3SS4r51eTU1Ai3pFk3DXvF,2JjA9KmAvPr8WywLFD8YxA,Garchin,2024,Bryant Myers,"Bryan Robert Rohena Pérez, known professionally as Bryant Myers, is a Puerto Rican Latin trap and reggaeton singer and songwriter. Rohena was born in Loma Alta, Puerto Rico. He began sampling and making his own songs in 2013 and launched them on social media via his SoundCloud, Instagram and YouTube accounts. <a href=""https://www.last.fm/music/Bryant+Myers"">Read more on Last.fm</a>",6292021,184456
Quevedo,Reggaeton (Origen: reggaeton),Canción,LOS DÍAS CONTADOS,2024,0ffPRT5WW86ecgGWGf5CyY,3V2ApPxUSquOkjLQU3wmjh,BUENAS NOCHES,2024,Quevedo,"Pedro Luis Domínguez Quevedo es un cantante de música urbana y rapero español radicado en Canarias.​​ <a href=""https://www.last.fm/music/Quevedo"">Read more on Last.fm</a>",21383405,361580
FloyyMenor,Reggaeton (Origen: reggaeton),Canción,Gata Only,2024,6XjDF6nds4DE2BBbagZol6,5tSQtQGkrCJx3hoQxmLgfM,Gata Only,2024,FloyyMenor,"Alan Felipe Galleguillos, known professionally as FloyyMenor, is a Chilean singer and songwriter. After self-releasing singles since 2022, he eventually gained international prominence with his hit single ""Gata Only"" with Cris MJ, where he released it through UnitedMasters. <a href=""https://www.last.fm/music/FloyyMenor"">Read more on Last.fm</a>",15474215,644882
Omar Courtz,Reggaeton (Origen: reggaeton),Canción,S E X P L A Y L I S T 1,2024,7w3G5VXJLLbuaWylG7hvVi,3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA,2024,Omar Courtz,"Joshua Omar Medina Cortés (Carolina, Puerto Rico, 11 de octubre de 1997), conocido artísticamente como Omar Courtz, es un cantante y compositor puertorriqueño de los géneros reguetón, trap y Rhythm and blues latino. <a href=""https://www.last.fm/music/Omar+Courtz"">Read more on Last.fm</a>",8800894,190325
Maluma,Reggaeton (Origen: reggaeton),Canción,Cosas Pendientes,2024,0iVEujJcafOBnxa654fJYu,0MW80IhxQCfhIiIqBwWvov,Cosas Pendientes,2024,Maluma,"Juan Luis Londoño Arias (Born January 28, 1994, Medellín, Colombia), is a singer of Colombian nationality. He began his musical career at an early age in his hometown of Medellín, there has developed an established career in Latin America, becoming nominated for several awards from major musical relevance.

Prior to serving as a singer, Maluma started in football, a sport he practiced for eight years in a row, reaching the lower divisions of the equipment Atlético Nacional and La Equidad. <a href=""https://www.last.fm/music/Maluma"">Read more on Last.fm</a>",29263994,947377
Big One,Reggaeton (Origen: reggaeton),Canción,Cuando Te Vi | CROSSOVER #5,2024,3KeYEr9ogMBemsOfQIJmZp,4u5sL85dlRv7eIMJIozZl8,Cuando Te Vi | CROSSOVER #5,2024,Big One,"Daniel Ismael Real (Necochea, January 22, 1993), known artistically as Big One, is an Argentine record producer and DJ. He is known for having worked with María Becerra, TINI, LIT Killah, Duki, Emilia, Rusherking, Tiago PZK and FMK. In addition, he is the co-founder of the record label Fifty One Music.
Daniel Ismael Real was born on January 22, 1993 in Necochea, province of Buenos Aires. His interest in music was sparked during his adolescence when he began listening to hip hop and at the age of 17 he began producing music <a href=""https://www.last.fm/music/Big+One"">Read more on Last.fm</a>",2363577,141319
W Sound,Reggaeton (Origen: reggaeton),Canción,Soltera - W Sound 01,2024,13BDiikG6y5o5cQTK0HpW6,5UQC6N5rRND3GZKzysRdA4,Soltera (W Sound 01),2024,W Sound," <a href=""https://www.last.fm/music/W+Sound"">Read more on Last.fm</a>",2095489,200119
Kapo,Reggaeton (Origen: reggaeton),Canción,UWAIE,2024,5QjmUqgpPQgXgg4606DqZF,5H7sO778w4hgr2v2600ajN,UWAIE,2024,Kapo,"The band Kapo was formed in 2006 by Joe Muller and David Gorena. The two were juniors in high school when Kapo was formed. <a href=""https://www.last.fm/music/Kapo"">Read more on Last.fm</a>",1483273,127043
Yan Block,Reggaeton (Origen: reggaeton),Canción,Media Hora,2024,6JDf3oDiHpOaWAw7a0GgA5,3FcVOuO9zj6o3Pu8JqAfSg,Media Hora,2024,Yan Block," <a href=""https://www.last.fm/music/Yan+Block"">Read more on Last.fm</a>",11810383,124627
Blessd,Reggaeton (Origen: reggaeton),Canción,DEPORTIVO,2024,0fKK51bU6lcCCwdNnv64t3,4WDkA9vfa56hODrhY0LAhs,DEPORTIVO,2024,Blessd,"Stiven Mesa Londoño (Itagüí, January 27, 2000), known by his stage name Blessd, is a Colombian singer, songwriter and sports manager.

In October 2021, he signed with Warner Music Latina and released his first studio album called ""Hecho en Medellín"". One of his songs was inspired by Octavio Mesa. His most popular song from the album, titled ""MEDALLO"", reached number 1 in Colombia and has more than 431 million views on YouTube. In March 2022, he was nominated for three Heat Latin Music Awards <a href=""https://www.last.fm/music/Blessd"">Read more on Last.fm</a>",9231696,241945
Ozuna,Reggaeton (Origen: reggaeton),Canción,Guay,2024,1S3SAFqLBWk3HaR5UyXp43,7DZzZGds5TtGakkQlGbfSl,Guay,2024,Ozuna,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>",25588695,873597
KAROL G,Reggaeton (Origen: reggaeton),Canción,+57,2024,3mg9jYNC1NihbthlglzrWP,5TT8KluomuelzsNF7T1U37,+57,2024,KAROL G,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. <a href=""https://www.last.fm/music/KAROL+G"">Read more on Last.fm</a>",69006215,1347574
Trueno,Reggaeton (Origen: reggaeton),Canción,REAL GANGSTA LOVE,2024,1pymWRCuZfCd0zdiBJo0Hj,3EWJoKrG9XnCjvAPzkQZ88,EL ÚLTIMO BAILE,2024,Trueno,"Mateo Palacios Corazzina, better known as Trueno, is an Argentine rapper and freestyler, originally from the La Boca neighborhood in Buenos Aires. He is known for his outstanding participation in rap battles, winning contests such as FMS Argentina and Red Bull Batalla De Los Gallos in 2019.

His debut album, Atrevido was released on July 23, 2020 through NEUEN and distributed by Sony Music Latin. The album features the collaborations of artists such as Alemán, Wos, Nicki Nicole and Bizarrap. <a href=""https://www.last.fm/music/Trueno"">Read more on Last.fm</a>",17928472,337952
Bizarrap,Reggaeton (Origen: reggaeton),Canción,"Young Miko: Bzrp Music Sessions, Vol. 58/66",2024,6VciS3dRMpZhJiDxT8ArFi,0HMTQPl6rJmP7sQEaRYHRo,"Young Miko: Bzrp Music Sessions, Vol. 58/66",2024,Bizarrap,"Gonzalo Julián Conde, known artistically as Bizarrap, is an Argentine music producer and DJ. 

He specialises in genres such as trap, electronic music and rap. He is known for his Bzrp Music Session and his Bzrp Freestyle Sessions, which he performs with different artists. <a href=""https://www.last.fm/music/Bizarrap"">Read more on Last.fm</a>",43554744,879261
El Bogueto,Reggaeton (Origen: reggaeton),Canción,Cuando No Era Cantante,2024,44xDy4h27s4ENaC8fKnCoC,4HRbWvdFSp49raypicZyXS,No Hay Loco Que No Corone,2024,El Bogueto,"Armando Antonio Toledo Rosas (Nezahualcóyotl, 27 de diciembre de 1997) conocido artísticamente como El Bogueto es un cantante y compositor mexicano de reguetón.

El artista fue influenciado por Almighty, Héctor & Tito, Daddy Yankee, Tego Calderón, Don Omar, Nicky Jam y Plan B en su carrera. <a href=""https://www.last.fm/music/El+BOGUETO"">Read more on Last.fm</a>",3034696,137849
Blessd,Reggaeton (Origen: reggaeton),Canción,Mírame,2024,2btNsI4OvcVl7SAHQQDHFB,5oCAS6VzHoESewtXUGMqbz,Mírame,2024,Blessd,"Stiven Mesa Londoño (Itagüí, January 27, 2000), known by his stage name Blessd, is a Colombian singer, songwriter and sports manager.

In October 2021, he signed with Warner Music Latina and released his first studio album called ""Hecho en Medellín"". One of his songs was inspired by Octavio Mesa. His most popular song from the album, titled ""MEDALLO"", reached number 1 in Colombia and has more than 431 million views on YouTube. In March 2022, he was nominated for three Heat Latin Music Awards <a href=""https://www.last.fm/music/Blessd"">Read more on Last.fm</a>",9231696,241945
Omar Courtz,Reggaeton (Origen: reggaeton),Canción,2 K 1 6,2024,6hXcH4KnoRgkFQDhvxo872,3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA,2024,Omar Courtz,"Joshua Omar Medina Cortés (Carolina, Puerto Rico, 11 de octubre de 1997), conocido artísticamente como Omar Courtz, es un cantante y compositor puertorriqueño de los géneros reguetón, trap y Rhythm and blues latino. <a href=""https://www.last.fm/music/Omar+Courtz"">Read more on Last.fm</a>",8800894,190325
Kapo,Reggaeton (Origen: reggaeton),Canción,OHNANA,2024,1fTjqf10accJCDYstPwwZ6,3IdVqIfyLPqxPZusYgifLo,OHNANA,2024,Kapo,"The band Kapo was formed in 2006 by Joe Muller and David Gorena. The two were juniors in high school when Kapo was formed. <a href=""https://www.last.fm/music/Kapo"">Read more on Last.fm</a>",1483273,127043
Rvssian,Reggaeton (Origen: reggaeton),Canción,Santa,2024,5bi0gh89wRuH2OgjdAKFsb,0SqUi6bPIlAaWfvZibBfia,Santa,2024,Rvssian,"Tarik Johnson, commonly known as Rvssian and previously as RUSSIAN, is a Jamaican music producer, singer and entrepreneur. Rvssian, is the founder of Head Concussion Records, a music production company situated in Kingston, Jamaica. <a href=""https://www.last.fm/music/RVSSIAN"">Read more on Last.fm</a>",6432744,500541
J Abdiel,Reggaeton (Origen: reggaeton),Canción,WYA REMIX RED,2024,4YnmQG1fnJR9LnTZtix70T,4KparoC39Qn5NatBrMA7nN,WYA REMIX RED,2024,J Abdiel," <a href=""https://www.last.fm/music/J+Abdiel"">Read more on Last.fm</a>",1289667,69753
Quevedo,Reggaeton (Origen: reggaeton),Canción,AMANECIÓ,2024,4DxbTPS1DUzTKzpNfCbYjy,3V2ApPxUSquOkjLQU3wmjh,BUENAS NOCHES,2024,Quevedo,"Pedro Luis Domínguez Quevedo es un cantante de música urbana y rapero español radicado en Canarias.​​ <a href=""https://www.last.fm/music/Quevedo"">Read more on Last.fm</a>",21383405,361580
Dei V,Reggaeton (Origen: reggaeton),Canción,Rapido (with Cris Mj),2024,1F9nsheKEqfhdtgIf72fFa,2r23a27qGkIUR9BCgi0X6q,Quién es Dei V?,2024,Dei V," <a href=""https://www.last.fm/music/Dei+V"">Read more on Last.fm</a>",7168886,123932
Quevedo,Reggaeton (Origen: reggaeton),Canción,SHIBATTO,2024,41VnmHAkCUsCStYdDUibpp,3V2ApPxUSquOkjLQU3wmjh,BUENAS NOCHES,2024,Quevedo,"Pedro Luis Domínguez Quevedo es un cantante de música urbana y rapero español radicado en Canarias.​​ <a href=""https://www.last.fm/music/Quevedo"">Read more on Last.fm</a>",21383405,361580
