Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Farruko,Reggaeton (Origen: reggaeton),Canción,Chulería en Pote,2010,1EMzpS9y1Sd0AxlhfgjK1d,2FGhhlr2SX31pVXnrd13kq,El Talento del Bloque,2010,Farruko,"Farruko is a reggaeton and Latin pop singer from Puerto Rico. His given name is Carlos Efren Reyes, and he was born in Bayamon, Puerto Rico in 1991. At the age of 16, he began to post his songs under his stage name to MySpace. His first single, ""Sexo Fuera del Planeta,"" gained thousands of followers, and from there he explored the potential of other social media networks. Due to his massive success on the Internet, he came to the attention of Puerto Rican radio and music industry executives, who enlisted his vocal talents for other artists. <a href=""https://www.last.fm/music/Farruko"">Read more on Last.fm</a>",10376919,771829
Plan B,Reggaeton (Origen: reggaeton),Canción,La Nena de Papa (feat. Tito El Bambino),2010,5Iubf6xcfjBy4oU4eTXOg1,4s9iYsrtBIvkZn5AEbUbl0,House of Pleasure,2010,Plan B,"There are several artists and bands with this name:

1) Plan B (real name Ben Drew, b. 1983) is a rapper from Forest Gate, London. From the age of 11 he attended Anglo European School in Ingatestone Essex, before transfering to Tom Hood, an inner-city comprehensive. He has described his character, in these school days, as ""a bit of a cunt"". He is signed to 679 Recordings, home to UK rap act The Streets. His unique sound is characterised by his use of acoustic beats and lyrics involving drugs, rape, murder and underage sex. <a href=""https://www.last.fm/music/Plan+B"">Read more on Last.fm</a>",28582724,1239647
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Irresistible,2010,4nAGpukSeyzDHJe0PMn0Ap,4mIV2lIQfHszWU28kvYtJ1,"Los Vaqueros, El Regreso",2010,Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. <a href=""https://www.last.fm/music/Wisin+&+Yandel"">Read more on Last.fm</a>",18427010,822265
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,"Uy, Uy, Uy",2010,3E6j0riii265VL5BrCcFVv,78dvAMnh1D4Q1uytQVj7np,"Los Vaqueros, El Regreso",2010,Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. <a href=""https://www.last.fm/music/Wisin+&+Yandel"">Read more on Last.fm</a>",18427010,822265
Raffa El Versatil,Reggaeton (Origen: reggaeton),Canción,Loba (fea. Ñengo Flow),2010,4Bw5RDr6d3GPogAYLZMMKv,0FShwBb8lPx5LcbcK60qaV,Loba,2010,Raffa El Versatil," <a href=""https://www.last.fm/music/Raffa+El+Versatil"">Read more on Last.fm</a>",1261,190
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Zun Zun Rompiendo Caderas,2010,5aJshF6mtr7SsztEMhAvZv,4mIV2lIQfHszWU28kvYtJ1,"Los Vaqueros, El Regreso",2010,Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. <a href=""https://www.last.fm/music/Wisin+&+Yandel"">Read more on Last.fm</a>",18427010,822265
Zion,Reggaeton (Origen: reggaeton),Canción,Como Curar,2010,62AhexN6mMJiNwKcjmY4QZ,3jsGdxB4wVM7iT4w21fPtH,Los Verdaderos,2010,Zion,"There are at least five artists named Zion.

1. ZION (ザイオン) is a Japanese alternative rock band from Tokachi, Hokkaido.

Vocals & Guitar - Mitsumura Tatsuya (光村龍哉; ex NICO touches the Walls)
Guitar - Kushino Keisuke (櫛野啓介; ex jealkb as sapoto)
Guitar - Yoshizawa Sachio (吉澤幸男; GAGAKIRIZE, 平方根レジェンド, Loloet)
Drums - Naruhashi Taichi (鳴橋大地)
Bass - Sato Shinnosuke (佐藤慎之介)

Formed in Tokyo in 2020. <a href=""https://www.last.fm/music/Zion"">Read more on Last.fm</a>",3179091,313737
Don Omar,Reggaeton (Origen: reggaeton),Canción,Danza Kuduro,2010,2a1o6ZejUi8U3wzzOtCOYw,6mGDfbDErYIJsmSewvccWm,Meet The Orphans,2010,Don Omar,"William Omar Landrón (born February 10, 1978 in Puerto Rico), better known as Don Omar, is a reggaeton singer. He is one of the most well known reggaeton artists in Latin America. His cross over success in the U.S. has given him more exposure to English speaking Reggaeton fans, making him one of the more recognizable faces of Reggaeton along with Daddy Yankee and Tego Calderón. Don Omar's popularity is currently rising and he recently appeared on MTV. <a href=""https://www.last.fm/music/Don+Omar"">Read more on Last.fm</a>",31333977,1700833
Dyland & Lenny,Reggaeton (Origen: reggaeton),Canción,Quiere Pa' Que Te Quieran,2010,7JXeiPr6I074dcQgTqQVXU,2XpLbDgssTyK3AmeQlfUL3,My World,2010,Dyland & Lenny,"Dyland (Carlos Castillo Cruz) & Lenny (Julio Manuel González Tavarez), originally from Puerto Rico, have formed a duo that is shaping up to be a true surprise in urban music. Dyland & Lenny  come to the genre with another vision, with a sound that reflects the youth that characterizes them and the feeling of a whole generation.

In early 2010, fans of urban music and other styles that came from the streets, will find the original and innovative rhythms of Dyland & Lenny in their debut CD, My World. <a href=""https://www.last.fm/music/Dyland+&+Lenny"">Read more on Last.fm</a>",562909,78603
Omega,Reggaeton (Origen: reggaeton),Canción,Si Te Vas / Que Tengo Que Hacer - Miami Paris Remix,2010,3PAYu9NkHiIZb6BAsYl2jH,3RvzRRL8f4VvShYRlFVYkd,Merengue Urbano,2010,Various Artists,"The are multiple artists called Omega:
1. A Hungarian progressive and hard rock band
2. An alias of techno musician Naoki
3. A Lithuanian pop group
4. An American rapper
5. A dubstep artist
6. A British metal band
7. A Greek black/thrash/speed metal band
8. A Dominican mambo singer
9. A Chilean rapper
10. An Italian black/avantgarde/ambient metal band
11. A Beat rock ensemble from Estonia

1. Omega is one of the most successful Hungarian rock bands. <a href=""https://www.last.fm/music/Omega"">Read more on Last.fm</a>",3572173,319903
Joey Montana,Reggaeton (Origen: reggaeton),Canción,Tus Ojos No Me Ven,2010,3AeI1xRkvnylBB94JKuXzt,10BqbyvQvltaEwWr9I67l8,Flow Con Clase,2010,Joey Montana,"Joey Montana is one of the hottest newe stars of Latin music. At 23 years of age, he has broken ground in Central and South America, Mexico, the United States and Europe. Armed with his lyrical abilities and explosive personality, he is looking to make a name for himself in the ever so popular and growing urban/Latino market, leaving behind his former group of ""La Factoria"". 

His real name is Edgardo Antonio Miranda Beiro, and he was born in Panama City, Panama; on May 3rd, 1982. <a href=""https://www.last.fm/music/Joey+Montana"">Read more on Last.fm</a>",1166385,151570
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Na Na Nau,2010,0k1fktfwCNUAxQ0318e2ye,6A6eSLDcS2r7qT9ZFYSJlL,El Príncipe [Ghost Edition],2010,Cosculluela,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. <a href=""https://www.last.fm/music/Cosculluela"">Read more on Last.fm</a>",4496894,290691
Pitbull,Reggaeton (Origen: reggaeton),Canción,Maldito Alcohol (Pitbull vs. Afrojack),2010,7reHiS3FBFlnzNvHBEQHqg,5PeAAIMt9AD5Ph4Te8SbqS,Armando,2010,Pitbull,"Armando Christian Pérez (born January 15, 1981 in Miami, Florida), better known by the stage name Pitbull , is an American rapper signed to his own label, Mr 305 Inc. The Give Me Everything (Tonight) Songfacts reports that he adopted his canine moniker because, ""They bite to lock. The dog is too stupid to lose. And they're outlawed in Dade County. They're basically everything that I am. It's been a constant fight.""

His first recorded performance was on Lil Jon & the East Side Boyz album Kings of Crunk in 2002 <a href=""https://www.last.fm/music/Pitbull"">Read more on Last.fm</a>",99590697,4212448
Plan B,Reggaeton (Origen: reggaeton),Canción,Es Un Secreto (Remasterizada 2024) - Remix,2010,2Xe3tkFYGFJyLk5yx00Dnf,5mbx1a51cItObVh9q6ujbK,Es Un Secreto (Remasterizada 2024),2010,Plan B,"There are several artists and bands with this name:

1) Plan B (real name Ben Drew, b. 1983) is a rapper from Forest Gate, London. From the age of 11 he attended Anglo European School in Ingatestone Essex, before transfering to Tom Hood, an inner-city comprehensive. He has described his character, in these school days, as ""a bit of a cunt"". He is signed to 679 Recordings, home to UK rap act The Streets. His unique sound is characterised by his use of acoustic beats and lyrics involving drugs, rape, murder and underage sex. <a href=""https://www.last.fm/music/Plan+B"">Read more on Last.fm</a>",28582724,1239647
Canelita,Reggaeton (Origen: reggaeton),Canción,Baila Reggaeton,2010,0NDEWNVvRd8V9qVWOgBWHb,5CUsVkmvLwlnf6VTRZvqqH,Vuelvo,2010,Canelita,"Canelita (born Jonathan Vera in 1990) is a Spanish flamenco singer. He hails from the barrio of Bajadilla, in Algeciras, southeastern Spain. He was discovered by another native of Algeciras, Paco de Lucia, when he was a boy and began recording as a teenager, with early releases such as Vivo Errante (2004) and Canelita por mi calle (2005). His album, Vuelvo, released in November 2010, alternates traditional flamenco singing ballads and pop tunes, seeking to reach a mass audience. <a href=""https://www.last.fm/music/Canelita"">Read more on Last.fm</a>",234613,21043
Don Omar,Reggaeton (Origen: reggaeton),Canción,Ella Ella,2010,7AObnx2EzL6FeYjmdjPCoA,6mGDfbDErYIJsmSewvccWm,Meet The Orphans,2010,Don Omar,"William Omar Landrón (born February 10, 1978 in Puerto Rico), better known as Don Omar, is a reggaeton singer. He is one of the most well known reggaeton artists in Latin America. His cross over success in the U.S. has given him more exposure to English speaking Reggaeton fans, making him one of the more recognizable faces of Reggaeton along with Daddy Yankee and Tego Calderón. Don Omar's popularity is currently rising and he recently appeared on MTV. <a href=""https://www.last.fm/music/Don+Omar"">Read more on Last.fm</a>",31333977,1700833
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Humo,2010,5BCeoF9MxCk8X5I56zWQCf,6A6eSLDcS2r7qT9ZFYSJlL,El Príncipe [Ghost Edition],2010,Cosculluela,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. <a href=""https://www.last.fm/music/Cosculluela"">Read more on Last.fm</a>",4496894,290691
Fuego,Reggaeton (Origen: reggaeton),Canción,Super Estrella (feat. Omega),2010,1CokMUEE6W4Sn9cwsm4TkO,794VF2hKc5pG3VjapCZ7VG,La Musica del Futuro,2010,Fuego,"There are several artists with this name:
---
1) Miguel Duran:
Hearing the sounds of his father's instrumental harmonies and melodic tunes before his birth would only make it natural for Miguel Duran to bear the innate ability to follow in his own father's footsteps as a musician. On September 24th, 1981 in Washington DC, Miguel Duran was born. His father would make it a point to teach Miguel everything he knew about music. He knew it wouldn't be an easy task to raise a kid in a cruel harsh world <a href=""https://www.last.fm/music/Fuego"">Read more on Last.fm</a>",2330924,239043
Arcángel,Reggaeton (Origen: reggaeton),Canción,No Pueden Con El Chamaquito,2010,0SFK07OU4XL9fWJebqvtcz,2LMo7FDyGyObmktZd37fYj,"Arca Special Edition, Vol. 1",2010,Arcángel,"Austin Santos, conocido como Arcangel, nació en Nueva York el 23 de diciembre de 1985. Honrando su ascendencia puertorriqueño-dominicana, se trasladó a Puerto Rico en 1999 para dedicarse al reggaetón.

En 2007, Arcangel comenzó su carrera solo trabajando en un sencillo con DJ Nelson, considerado el padrino del reggaetón. La canción, “Chica Virtual”, apareció en el álbum de recopilación de Nelson “Flow La Discoteka 2” y se hizo popular en las radios urbanas. <a href=""https://www.last.fm/music/+noredirect/Arc%C3%A1ngel"">Read more on Last.fm</a>",12563652,404039
Don Omar,Reggaeton (Origen: reggaeton),Canción,Taboo,2010,2rRK7oBzercpZVcavz2cUB,3F41BssbVvfFnh6DdDODeO,Meet The Orphans,2010,Don Omar,"William Omar Landrón (born February 10, 1978 in Puerto Rico), better known as Don Omar, is a reggaeton singer. He is one of the most well known reggaeton artists in Latin America. His cross over success in the U.S. has given him more exposure to English speaking Reggaeton fans, making him one of the more recognizable faces of Reggaeton along with Daddy Yankee and Tego Calderón. Don Omar's popularity is currently rising and he recently appeared on MTV. <a href=""https://www.last.fm/music/Don+Omar"">Read more on Last.fm</a>",31333977,1700833
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Ciudau Au Au,2010,4vkgwMRQ7U1BYiKUmdX8ca,6A6eSLDcS2r7qT9ZFYSJlL,El Príncipe [Ghost Edition],2010,Cosculluela,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. <a href=""https://www.last.fm/music/Cosculluela"">Read more on Last.fm</a>",4496894,290691
Dyland & Lenny,Reggaeton (Origen: reggaeton),Canción,Nadie Te Amará Como Yo (Remix) (feat. Zion & Arcángel),2010,1eoAytqST4MVGz4xdTDqPj,2XpLbDgssTyK3AmeQlfUL3,My World,2010,Dyland & Lenny,"Dyland (Carlos Castillo Cruz) & Lenny (Julio Manuel González Tavarez), originally from Puerto Rico, have formed a duo that is shaping up to be a true surprise in urban music. Dyland & Lenny  come to the genre with another vision, with a sound that reflects the youth that characterizes them and the feeling of a whole generation.

In early 2010, fans of urban music and other styles that came from the streets, will find the original and innovative rhythms of Dyland & Lenny in their debut CD, My World. <a href=""https://www.last.fm/music/Dyland+&+Lenny"">Read more on Last.fm</a>",562909,78603
Angel Y Khriz,Reggaeton (Origen: reggaeton),Canción,Me Enamoré,2010,57WauWILXLXRzBXNaxf9FM,441w84evLgVKSEgdIw8f3m,Da' Take Over,2010,Angel Y Khriz,"Angel y Khriz are Ángel Rivera Guzmán and Christian Colón,They are a Puerto Rican reggaeton duo. They work largely with Luny Tunes.

They were introduced in 2002 in the CD MVP, by Hector ""El Father"" with the song ""Cazando Voy"".

Los MVP’s is Angel y Khriz’s own CD where they present the listener to soulful hits like Ven Baílalo and Te Quiero Ver Hoy, as well as De Casería (featuring Divino) and the up beat Ram Pa Pan Pan.

In the year 2005 <a href=""https://www.last.fm/music/Angel+y+Khriz"">Read more on Last.fm</a>",2220305,271878
Pitbull,Reggaeton (Origen: reggaeton),Canción,Maldito Alcohol (Pitbull vs. Afrojack),2010,5VtRjcZYvXj1VdT3FWG3ZD,0kv3Rm7PODqJBQaVJiezuB,I Am Armando - Armando Reloaded,2010,Pitbull,"Armando Christian Pérez (born January 15, 1981 in Miami, Florida), better known by the stage name Pitbull , is an American rapper signed to his own label, Mr 305 Inc. The Give Me Everything (Tonight) Songfacts reports that he adopted his canine moniker because, ""They bite to lock. The dog is too stupid to lose. And they're outlawed in Dade County. They're basically everything that I am. It's been a constant fight.""

His first recorded performance was on Lil Jon & the East Side Boyz album Kings of Crunk in 2002 <a href=""https://www.last.fm/music/Pitbull"">Read more on Last.fm</a>",99590697,4212448
J Alvarez,Reggaeton (Origen: reggaeton),Canción,Deja,2010,1uLAKESXylbYIK2tSMh7XT,2ouuoBa8BHjrwj68lftlaZ,El Movimiento: The Mixtape,2010,J Alvarez,"Javid David Alvarez Fernandez conocido en el mundo artistico como “J Alvarez”, nacio en Rio Piedras, Puerto Rico un 13 de Diciembre del 1983. Su inspiracion en la musica comenzo en el hip-hop en ingles, en grupos tales como ""A Tribe Called Quest"", “Q-Tip”, ""Busta Rhymes"", entre otros. Todavia no era ni adolecente cuando a los 12 años se atravio a coger un microfono y canto por primera vez en la escuela Luis Muñoz Marin frente a varios estudiantes y profesores. <a href=""https://www.last.fm/music/J+Alvarez"">Read more on Last.fm</a>",3260884,210328
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,El Ritmo No Perdona,2010,3XKeZXhIxy1SwYlDwVD2vF,1KvWjARMNg4QmqyLLb0zp1,Mundial (Deluxe Version),2010,Daddy Yankee,"Ramón ""Raymond"" Luis Ayala Rodríguez (born February 3, 1977), known artistically as Daddy Yankee, is a Latin Grammy Award winning Puerto Rican reggaeton recording artist. Ayala was born in Río Piedras, the largest district of San Juan, Puerto Rico, where he became interested in music at a young age. In his youth he was interested in baseball, and aspired to become a Major League Baseball player. He was unable to continue this sport when he got shot in the leg by being mistaken for his friend by a unknown man <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>",47614159,2104425
Plan B,Reggaeton (Origen: reggaeton),Canción,Es un Secreto,2010,3Btqti3QpzZZr6uz5mlNzz,6sP9EP1NyetOJxmuw2ErZi,House Of Pleasure,2010,Plan B,"There are several artists and bands with this name:

1) Plan B (real name Ben Drew, b. 1983) is a rapper from Forest Gate, London. From the age of 11 he attended Anglo European School in Ingatestone Essex, before transfering to Tom Hood, an inner-city comprehensive. He has described his character, in these school days, as ""a bit of a cunt"". He is signed to 679 Recordings, home to UK rap act The Streets. His unique sound is characterised by his use of acoustic beats and lyrics involving drugs, rape, murder and underage sex. <a href=""https://www.last.fm/music/Plan+B"">Read more on Last.fm</a>",28582724,1239647
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Pienso en Ti,2010,59gM93v9QI3zha0WPnyrYa,6A6eSLDcS2r7qT9ZFYSJlL,El Príncipe [Ghost Edition],2010,Cosculluela,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. <a href=""https://www.last.fm/music/Cosculluela"">Read more on Last.fm</a>",4496894,290691
Joey Montana,Reggaeton (Origen: reggaeton),Canción,La Melodía,2010,2sH1DIngiSA8EQfkcQXpBq,10BqbyvQvltaEwWr9I67l8,Flow Con Clase,2010,Joey Montana,"Joey Montana is one of the hottest newe stars of Latin music. At 23 years of age, he has broken ground in Central and South America, Mexico, the United States and Europe. Armed with his lyrical abilities and explosive personality, he is looking to make a name for himself in the ever so popular and growing urban/Latino market, leaving behind his former group of ""La Factoria"". 

His real name is Edgardo Antonio Miranda Beiro, and he was born in Panama City, Panama; on May 3rd, 1982. <a href=""https://www.last.fm/music/Joey+Montana"">Read more on Last.fm</a>",1166385,151570
Farruko,Reggaeton (Origen: reggaeton),Canción,Ella No Es Fácil,2010,51VkDFjQNGDZtJRzdPZbZw,2FGhhlr2SX31pVXnrd13kq,El Talento del Bloque,2010,Farruko,"Farruko is a reggaeton and Latin pop singer from Puerto Rico. His given name is Carlos Efren Reyes, and he was born in Bayamon, Puerto Rico in 1991. At the age of 16, he began to post his songs under his stage name to MySpace. His first single, ""Sexo Fuera del Planeta,"" gained thousands of followers, and from there he explored the potential of other social media networks. Due to his massive success on the Internet, he came to the attention of Puerto Rican radio and music industry executives, who enlisted his vocal talents for other artists. <a href=""https://www.last.fm/music/Farruko"">Read more on Last.fm</a>",10376919,771829
