Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Billy Ocean,Latin (Origen: pop),Canción,Caribbean Queen (No More Love On the Run),2010,4JEylZNW8SbO4zUyfVrpb7,7n4OT3zEZaEiyKKd6mFAhi,75,"Billy Ocean (born Leslie Sebastian Charles, 21 January 1950, Fyzabad, Trinidad) is a Grammy Award-winning British popular music performer who had a string of rhythm and blues-tinged international pop hits in the 1970s and 1980s. He was the main British R&B singer / songwriter of the 1980s. He waited seven years after scoring his first four UK top 20 successes, before accumulating a series of transatlantic successes, including three U.S. number ones. <a href=""https://www.last.fm/music/Billy+Ocean"">Read more on Last.fm</a>",8647113,951722
Nicki Minaj,Latin (Origen: pop),Canción,Super Bass,2010,3hlksXnvbKogFdPbpO9vel,7aADdYLiK1z7GlMFr0UIZw,80,"Onika Tanya Maraj-Petty, born December 8th, 1982, is known professionally as Nicki Minaj. Minaj is a Trinidadian-born rapper and singer based in the United States of America. Nicki Minaj is most recognized for her musical versatility, alter egos, and the animated flow of her raps. She first gained underground attention after releasing her debut mixtape, Playtime Is Over. Nicki later released two more mixtapes before her debut album, Sucka Free and Beam Me Up Scotty. <a href=""https://www.last.fm/music/Nicki+Minaj"">Read more on Last.fm</a>",298506037,4626487
David Guetta,Latin (Origen: pop),Canción,Memories (feat. Kid Cudi),2010,7fLzbEOBOae9lUnOwr7Tse,7fHeCs5cgtXYqxBPG1iK1n,82,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",179690099,5049639
Joey Montana,Latin (Origen: pop),Canción,La Melodía,2010,2sH1DIngiSA8EQfkcQXpBq,10BqbyvQvltaEwWr9I67l8,66,"Joey Montana is one of the hottest newe stars of Latin music. At 23 years of age, he has broken ground in Central and South America, Mexico, the United States and Europe. Armed with his lyrical abilities and explosive personality, he is looking to make a name for himself in the ever so popular and growing urban/Latino market, leaving behind his former group of ""La Factoria"". 

His real name is Edgardo Antonio Miranda Beiro, and he was born in Panama City, Panama; on May 3rd, 1982. <a href=""https://www.last.fm/music/Joey+Montana"">Read more on Last.fm</a>",1168751,151812
Pitbull,Latin (Origen: pop),Canción,Guantanamera (She's Hot),2010,7CijDWxEEbKq76O5rpyCEN,0kv3Rm7PODqJBQaVJiezuB,64,"Armando Christian Pérez (born January 15, 1981 in Miami, Florida), better known by the stage name Pitbull , is an American rapper signed to his own label, Mr 305 Inc. The Give Me Everything (Tonight) Songfacts reports that he adopted his canine moniker because, ""They bite to lock. The dog is too stupid to lose. And they're outlawed in Dade County. They're basically everything that I am. It's been a constant fight.""

His first recorded performance was on Lil Jon & the East Side Boyz album Kings of Crunk in 2002 <a href=""https://www.last.fm/music/Pitbull"">Read more on Last.fm</a>",99831427,4218617
David Guetta,Latin (Origen: pop),Canción,Who's That Chick? (feat. Rihanna),2010,7e1h7rqNB0BBC2fUuWEEFe,7fHeCs5cgtXYqxBPG1iK1n,72,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",179690099,5049639
INNA,Latin (Origen: pop),Canción,Amazing,2010,52hQY9AntPqOQM46N9BnfC,7mRhzwh8TINisagYjnmIMT,71,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  <a href=""https://www.last.fm/music/Inna"">Read more on Last.fm</a>",21652144,1050316
USHER,Latin (Origen: pop),Canción,More - RedOne Jimmy Joker Remix,2010,0aBKFfdyOD1Ttvgv0cfjjJ,5GNPZT1Bxq0EP7PQDQmK3U,71,"Usher Raymond IV (born October 14, 1978) is an American singer, songwriter, dancer, and actor, known for his influence on contemporary R&B and pop music. He released his self-titled debut album, ""Usher,"" in 1994 at the age of 15, and rose to prominence with his second album, ""My Way"" (1997), which produced his first US Billboard Hot 100 number-one single, ""Nice & Slow,"" as well as the top-two singles ""My Way"" and ""You Make Me Wanna..."".

His third album <a href=""https://www.last.fm/music/Usher"">Read more on Last.fm</a>",98033329,4864593
Bruno Mars,Latin (Origen: pop),Canción,Marry You,2010,6SKwQghsR8AISlxhcwyA9R,6J84szYCnMfzEcvIcfWMFL,81,"Peter Gene Hernandez (born October 8, 1985 in Honolulu, Hawaii, USA), known professionally as Bruno Mars, is an American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, disco, and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers. <a href=""https://www.last.fm/music/Bruno+Mars"">Read more on Last.fm</a>",267949055,4991414
Melendi,Latin (Origen: pop),Canción,Barbie de extrarradio,2010,7bp62Lo0nOBcfB70iUoibE,1O2K1CtGy9oNUPkmOKLnAx,66,"His full name is Ramón Melendi Espina. Spanish pop singer with rock, flamenco, and rumba influences. Was born on January 21, 1979 in Oviedo, Asturias. 

He realized very quickly that he wasn't made for studying, but he was good at soccer. He played in the lower ranks of Astur CF, at the time a reserve team for Real Oviedo. Afterwards, he worked as a waiter in several bars and spent all night out, living experiences that would later go on to make up the lyrics of his songs. <a href=""https://www.last.fm/music/Melendi"">Read more on Last.fm</a>",7761386,307000
IZAL,Latin (Origen: pop),Canción,Eco,2010,4Bk5Q65UbeAShxoQmddBYR,6i0Twqpwao7f4jasg9FQVU,47,"In 2010, with more than 10 years of experience behind them, five musicians came together to form IZAL. A band made up of Mikel Izal (vocals, composer, guitar, ukulele), Emanuel Pérez “Gato” (bass), Alejandro Jordá (drums and percussion), Alberto Pérez (guitar, Lap Steel) and Iván Mella (piano, keyboards, synthesizers ). Coming from different geographical locations, Madrid became their ""base"" of operations, which is why the name ""Madrid band"" has been highly honored since its inception, despite not being originally from the capital. <a href=""https://www.last.fm/music/Izal"">Read more on Last.fm</a>",2990503,64907
Fondo Flamenco,Latin (Origen: pop),Canción,El Misterio,2010,6IbuOIQOkrSQKJAvQo07f3,4HVUiAzlHzt20UHnjzOPq4,49,"Fonco Flamenco is a group from Sevilla, Spain composed by Astola, Antonio and Rafael. The group started with Astola and Rafael at their early age of 13. Antonio came later on. Astola writes and composes the songs for the group. He is also the one credited for the idea of naming the group Fondo Flamenco. The name came as result of a comment that he made to Rafael while they were taking pictures of themselves in a tipical sevillian courtyard and he told Rafael ""Let's take a picture of us with this flamenco backgroung (fondo flamenco)"". <a href=""https://www.last.fm/music/Fondo+Flamenco"">Read more on Last.fm</a>",809154,61437
Lady A,Latin (Origen: pop),Canción,Need You Now,2010,7GAaTpSoTWUTbP2Yxlt4Hd,5RypFF6rN9MUxFe4aAWA28,76,"lady antebelum <a href=""https://www.last.fm/music/+noredirect/Lady+A"">Read more on Last.fm</a>",8680613,654908
Canelita,Latin (Origen: pop),Canción,Baila Reggaeton,2010,0NDEWNVvRd8V9qVWOgBWHb,5CUsVkmvLwlnf6VTRZvqqH,47,"Canelita (born Jonathan Vera in 1990) is a Spanish flamenco singer. He hails from the barrio of Bajadilla, in Algeciras, southeastern Spain. He was discovered by another native of Algeciras, Paco de Lucia, when he was a boy and began recording as a teenager, with early releases such as Vivo Errante (2004) and Canelita por mi calle (2005). His album, Vuelvo, released in November 2010, alternates traditional flamenco singing ballads and pop tunes, seeking to reach a mass audience. <a href=""https://www.last.fm/music/Canelita"">Read more on Last.fm</a>",235139,21084
Maroon 5,Latin (Origen: pop),Canción,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,7pYfyrMNPn3wtoCyqcTVoI,1snrPQMoTrBsKl73wzSxbn,82,"Maroon 5 is an American pop rock band that originated in Los Angeles, California, United States. The group was formed in 1994 as Kara's Flowers while its members were still in high school and originally consisted of Adam Levine (lead vocals, guitar), Jesse Carmichael (guitar, backing vocals) Mickey Madden (bass guitar) and Ryan Dusick (drums). Kara's Flowers signed to Reprise Records and released an album, ""The Fourth World"", in 1997. After a tepid response to the album <a href=""https://www.last.fm/music/Maroon+5"">Read more on Last.fm</a>",272604850,6440586
Camila,Latin (Origen: pop),Canción,De Qué Me Sirve la Vida,2010,3YHGqAHprVEArAxLzaBE6O,0MPMiyavAbARflBlNGjIA6,72,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10374095,492411
Rihanna,Latin (Origen: pop),Canción,S&M,2010,0C4ejWmOTMv8vuYj85mf8m,7vN82vd1Vq44fjlhjfvHJp,74,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",564149607,8067865
Los Rebujitos,Latin (Origen: pop),Canción,Un Bonito Final,2010,1fRstt9Ftedotij9ipkPDR,3qeDf8K4Ymc62Jerpxi4bG,54,"THIS TEXT IS FROM WIKIPEDIA:
Manuel y Yerai forman el grupo ""Los Rebujitos"". Nacidos en Tarifa (Cádiz), sacan su primer disco en el año 2004 bajo el título ""Lo Que Me Gusta De Ti"". Un álbum con el cual logran hacerse un hueco en el mundo de la música, vendiendo mas de 40.000 mil copias y realizando más de 70 conciertos por toda la geografía española. Después de ese éxito deciden editar una Edición Especial, con temas extras y un DVD con algunos temas en concierto y videoclips. <a href=""https://www.last.fm/music/Los+Rebujitos"">Read more on Last.fm</a>",391703,28074
The Irrepressibles,Latin (Origen: pop),Canción,In This Shirt,2010,14QX1ckbDIhqetvu5VZ3cP,6AOnHGR6Adnmi4FyR3UK6e,74,"The Irrepressibles is an art-pop collective founded and led by composer and musician Jamie McDermott from the United Kingdom. Created in 2003, the band have released two full studio albums to date and 5 EPs, with a further 6th slated for release in 2014.

On the January 11, 2010, The Irrepressibles released their debut studio album, Mirror Mirror, a collection of 12 baroque pop songs produced by Dimitri Tikovoi and William Turner Duffin, and written by Jamie McDermott. <a href=""https://www.last.fm/music/The+Irrepressibles"">Read more on Last.fm</a>",5745956,408618
INNA,Latin (Origen: pop),Canción,Deja Vu,2010,3V7choSVaP2zUqtIYpfynG,1BykQV2nA2F8zXzsUJ6DQ2,68,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  <a href=""https://www.last.fm/music/Inna"">Read more on Last.fm</a>",21652144,1050316
